Animal type,Country,Weight kg,Body Length cm,Gender,Animal code,Latitude,Longitude,Animal name,Observation date,Data compiled by
red squirrel,Austria,0.299,20,female,,47.781131,14.382207,,5/4/2024,Bob Bobson
hedgehog,Hungary,0.9,16,female,,47.506638,18.940091,,7/4/2024,Anne Anthony
hedgehog,Hungary,0.9,16,female,,47.507053,18.943306,,5/1/2024,Anne Anthony
hedgehog,Hungary,0.9,16,female,,47.50986,18.939943,,5/8/2024,Anne Anthony
red squirrel,Austria,0.272,20,female,,47.781296,14.383799,,3/24/2024,Bob Bobson
hedgehog,Hungary,0.9,23,male,,47.510055,18.944356,,5/7/2024,Anne Anthony
red squirrel,Austria,0.322,20,male,,47.781333,14.382547,,5/4/2024,Bob Bobson
hedgehog,Germany,0.9,18,female,,48.160459,11.493142,,3/27/2024,Bob Bobson
hedgehog,Germany,0.9,19,male,,48.161646,11.493511,,3/30/2024,Bob Bobson
hedgehog,Slovakia,0.9,20,male,,48.18637,17.090384,,4/28/2024,John Johnson
hedgehog,Slovakia,0.9,19,female,,48.407464,18.87406,,3/31/2024,John Johnson
hedgehog,Hungary,0.9,21,male,,48.50529,20.566169,,10/3/2024,Anne Anthony
hedgehog,Hungary,0.9,19,female,,48.505634,20.543417,,11/3/2024,Anne Anthony
hedgehog,Hungary,0.9,20,female,,48.51108,20.567192,,10/3/2024,Anne Anthony
hedgehog,Germany,0.9,25,male,,49.551318,11.085475,,4/18/2024,Bob Bobson
hedgehog,Germany,0.9,25,male,,49.560723,11.084667,,4/17/2024,Bob Bobson
hedgehog,Germany,0.9,23,female,,49.562583,11.082312,,3/4/2024,Bob Bobson
hedgehog,Czech Republic,0.9,17,male,,49.937429,14.18264,,3/18/2024,John Johnson
red squirrel,Austria,0.34,20,male,,47.781538,14.384561,,3/24/2024,Bob Bobson
hedgehog,Czech Republic,0.9,16,female,,49.93849,14.1802,,3/14/2024,John Johnson
hedgehog,Czech Republic,0.9,22,female,,50.106583,14.346471,,9/3/2024,John Johnson
hedgehog,Czech Republic,0.9,19,female,,50.107284,14.346127,,5/3/2024,John Johnson
red squirrel,Australia,0.266,20,female,,47.781632,14.382365,,5/4/2024,Bob Bobson
red squirrel,Austria,0.27,20,female,,47.7818,14.383699,,2/4/2024,Bob Bobson
red squirrel,Germany,0.29,20,male,,48.160807,11.494219,,4/15/2024,Bob Bobson
hedgehog,Czech Republic,0.9,22,female,,50.638142,14.849689,,4/3/2024,John Johnson
hedgehog,Czech Republic,0.9,20,female,,50.639869,14.849702,,2/3/2024,John Johnson
hedgehog,Czech Republic,0.9,22,male,,50.642843,14.84124,,1/3/2024,John Johnson
hedgehog,Poland,0.9,22,female,,52.214494,21.033154,,3/25/2024,Anne Anthony
hedgehog,Poland,0.9,22,male,,52.214498,21.034201,,3/15/2024,Anne Anthony
hedgehog,Poland,0.9,22,male,,52.214679,21.033021,,4/3/2024,Anne Anthony
red squirrel,Germany,0.256,20,female,,48.161009,11.491557,,4/15/2024,Bob Bobson
hedgehog,Poland,0.9,21,male,,52.214934,21.032106,,6/3/2024,Anne Anthony
hedgehog,Germany,0.9,151,female,,52.583004,13.150686,,3/24/2024,Bob Bobson
red squirrel,Germany,0.258,20,female,,48.162137,11.494415,,11/4/2024,Bob Bobson
hedgehog,Austria,0.8,20,female,,47.316383,11.188381,,5/4/2024,Bob Bobson
hedgehog,Austria,0.8,15,female,,47.319091,11.188058,,2/4/2024,Bob Bobson
hedgehog,Austria,0.8,16,male,,47.31947,11.18573,,5/4/2024,Bob Bobson
hedgehog,Hungary,0.8,17,female,,47.507073,18.947873,,5/4/2024,Anne Anthony
hedgehog,Hungary,0.8,17,female,,47.507081,18.939062,,11/4/2024,Anne Anthony
hedgehog,Hungary,0.8,14,female,,47.509073,18.946838,,6/4/2024,Anne Anthony
hedgehog,Austria,0.8,21,female,,47.781117,14.38608,,3/14/2024,Bob Bobson
hedgehog,Austria,0.8,24,male,,47.781236,14.382219,,3/21/2024,Bob Bobson
red squirrel,Slovakia,0.297,20,female,,48.185194,17.083142,,4/3/2024,John Johnson
hedgehog,Australia,0.8,24,not determined,,47.781689,14.386777,,3/14/2024,Bob Bobson
red squirrel,Slovakia,0.334,20,female,,48.406983,18.863197,,3/17/2024,John Johnson
hedgehog,Austria,0.8,20,male,,47.781828,14.385001,,3/14/2024,Bob Bobson
red squirrel,Slovakia,0.339,20,male,,48.410771,18.865888,,2/4/2024,John Johnson
red squirrel,Hungary,0.293,20,male,,48.50586,20.547649,,11/3/2024,Anne Anthony
hedgehog,Austria,0.8,18,male,,47.781882,14.384802,,3/24/2024,Bob Bobson
hedgehog,Germany,0.8,23,male,,48.161452,11.495239,,2/4/2024,Bob Bobson
red squirrel,Slovakia,0.305,20,female,,49.05291,22.420861,,3/7/2024,James Johnson
red squirrel,Slovakia,0.297,20,not determined,,49.054132,22.411066,,3/7/2024,James Johnson
red squirrel,Slovakia,0.305,20,male,,49.054647,22.410445,,3/7/2024,James Johnson
red squirrel,Slovakia,0.329,20,male,,49.054663,22.412082,,8/4/2024,John Johnson
hedgehog,Germany,0.8,18,male,,48.161892,11.493888,,2/4/2024,Bob Bobson
hedgehog,Slovakia,0.8,18,male,,48.186208,17.089749,,4/21/2024,John Johnson
red squirrel,Slovakia,0.303,20,male,,49.05593,22.424085,,3/8/2024,James Johnson
hedgehog,Slovakia,0.8,21,male,,48.187468,17.088827,,5/6/2024,John Johnson
red squirrel,Slovakia,0.309,20,female,,49.057758,22.415169,,3/9/2024,James Johnson
hedgehog,Slovakia,0.8,18,male,,48.22689,17.084025,,5/29/2024,John Johnson
hedgehog,Slovakia,0.8,16,female,,48.23493,17.084813,,5/17/2024,John Johnson
hedgehog,Slovakia,0.8,18,male,,48.237588,17.090344,,5/26/2024,John Johnson
hedgehog,Slovakia,0.8,24,female,,48.239628,17.087298,,11/5/2024,John Johnson
hedgehog,Slovakia,0.8,16,male,,48.407138,18.867247,,4/13/2024,John Johnson
hedgehog,Slovakia,0.8,17,male,,48.409645,18.872415,,6/4/2024,John Johnson
hedgehog,Slovakia,0.8,21,female,,48.412408,18.869074,,5/4/2024,John Johnson
hedgehog,Slovakia,0.8,23,male,,48.412843,18.872614,,4/13/2024,John Johnson
hedgehog,Hungary,0.8,18,female,,48.503498,20.539662,,4/3/2024,Anne Anthony
hedgehog,Hungary,0.8,23,female,,48.504425,20.548744,,7/3/2024,Anne Anthony
hedgehog,Hungary,0.8,25,male,,48.509298,20.551977,,3/23/2024,Anne Anthony
European bison,Slovakia,390,180,female,,49.052731,22.422675,,1/3/2024,John Johnson
red squirrel,Germany,0.294,20,male,,49.545857,11.076254,,4/17/2024,Bob Bobson
red squirrel,Germany,0.317,20,female,,49.545913,11.081051,,5/4/2024,Bob Bobson
red squirrel,Germany,0.327,20,male,,49.550428,11.077659,,5/4/2024,Bob Bobson
European bison,Slovakia,566,272,female,,49.053342,22.423867,,1/3/2024,John Johnson
European bison,Slovakia,814,288,male,,49.053489,22.415229,,1/3/2024,John Johnson
European bison,Slovakia,511,266,female,,49.053629,22.421831,,1/3/2024,John Johnson
red squirrel,Czech Republic,0.335,20,male,,49.938958,14.181258,,3/21/2024,John Johnson
European bison,Slovakia,130,141,female,,49.054166,22.422852,,1/3/2024,John Johnson
red squirrel,Poland,0.286,20,female,,50.04113,19.949698,,3/24/2024,Anne Anthony
red squirrel,Poland,0.256,20,male,,50.041154,19.949919,,3/21/2024,Anne Anthony
red squirrel,Poland,0.325,20,female,,50.041347,19.950773,,11/4/2024,Anne Anthony
European bison,Slovakia,420,182,male,,49.054684,22.417189,,1/3/2024,John Johnson
red squirrel,Poland,0.323,20,female,,50.041366,19.949444,,3/31/2024,Anne Anthony
red squirrel,Poland,0.264,20,male,,50.041366,19.949936,,4/13/2024,Anne Anthony
red squirrel,Poland,0.348,20,female,,50.04186,19.950192,,3/23/2024,Anne Anthony
European bison,Slovakia,695,316,male,,49.055537,22.419428,,1/3/2024,John Johnson
red squirrel,Czech Republic,0.258,20,male,,50.882642,14.372818,,8/6/2024,John Johnson
red squirrel,Poland,0.349,20,female,,52.212001,21.033903,,4/22/2024,Anne Anthony
red squirrel,Poland,0.346,20,female,,52.212001,21.033187,Lola,5/7/2024,Anne Anthony
red squirrel,Poland,0.307,20,female,,52.212144,21.033534,,5/6/2024,Anne Anthony
European bison,Slovakia,355,179,male,,49.055974,22.415985,,1/3/2024,John Johnson
European bison,Slovakia,393,152,not determined,,49.056471,22.422475,,1/3/2024,John Johnson
red squirrel,Poland,0.317,20,female,,52.212163,21.032633,,5/13/2024,Anne Anthony
red squirrel,Poland,0.266,20,male,,52.212429,21.032435,,12/5/2024,Anne Anthony
red squirrel,Poland,0.292,20,female,,52.212433,21.032496,,4/30/2024,Anne Anthony
red squirrel,Poland,0.316,20,male,,52.240035,21.056188,Lolek,1/3/2024,Anne Anthony
red squirrel,Poland,0.344,20,male,,52.240522,21.057552,,5/3/2024,Anne Anthony
red squirrel,Poland,0.348,20,female,,52.24206,21.057802,,1/3/2024,Anne Anthony
hedgehog,Germany,0.8,17,male,,49.545768,11.086386,,4/18/2024,Bob Bobson
red squirrel,Germany,0.323,20,male,,52.581896,13.151801,Bob Bobson,3/21/2024,Bob Bobson
red squirrel,Poland,0.299,20,female,,52.820308,23.809736,,5/31/2024,Anne Anthony
hedgehog,Germany,0.8,19,male,,49.558968,11.106642,,4/28/2024,Bob Bobson
hedgehog,Germany,0.8,20,male,,49.560178,11.093259,,4/28/2024,Bob Bobson
hedgehog,Czech Republic,0.8,18,male,,49.938688,14.179603,,3/24/2024,John Johnson
hedgehog,Czech Republic,0.8,17,male,,49.938707,14.182507,,10/3/2024,John Johnson
hedgehog,Czech Republic,0.8,17,female,,49.938959,14.180078,,3/27/2024,John Johnson
red squirrel,Poland,0.325,20,male,,52.823959,23.817073,,1/6/2024,Anne Anthony
hedgehog,Czech Republic,0.8,22,male,,50.106579,14.346283,,6/3/2024,John Johnson
hedgehog,Czech Republic,0.8,22,male,,50.106811,14.348513,,8/3/2024,John Johnson
hedgehog,Poland,0.8,15,female,,52.213877,21.030861,,3/14/2024,Anne Anthony
hedgehog,Poland,0.8,19,female,,52.214365,21.031462,,8/3/2024,Anne Anthony
hedgehog,Poland,0.8,22,female,,52.214452,21.034505,,9/3/2024,Anne Anthony
hedgehog,Poland,0.8,24,male,,52.214734,21.031915,,3/13/2024,Anne Anthony
hedgehog,Poland,0.8,16,female,,52.214968,21.030987,,11/3/2024,Anne Anthony
red squirrel,Germany,0.27,20,male,,52.586487,13.150015,,1/3/2024,Bob Bobson
red squirrel,Germany,0.32,20,male,,52.586487,13.150015,,1/3/2024,Bob Bobson
hedgehog,Poland,0.8,20,female,,52.215039,21.032591,,3/23/2024,Anne Anthony
hedgehog,Germany,0.8,16,male,,52.582072,13.149185,,3/24/2024,Bob Bobson
hedgehog,Germany,0.8,16,male,,52.585958,13.147098,Bob Bobson,3/19/2024,Bob Bobson
red squirrel,Germany,0.262,20,male,,52.586487,13.150015,,1/3/2024,Bob Bobson
red squirrel,Germany,0.256,20,male,,52.586487,13.150015,,1/3/2024,Bob Bobson
hedgehog,Austria,0.7,18,male,,47.319812,11.18479,,5/4/2024,Bob Bobson
red squirrel,Germany,0.245,20,male,,52.586487,13.150015,,1/3/2024,Bob Bobson
hedgehog,Hungary,0.7,11,female,,47.507758,18.949223,,5/17/2024,Anne Anthony
hedgehog,Hungary,0.7,23,female,,47.508516,18.949429,,4/4/2024,Anne Anthony
hedgehog,Hungary,0.7,16,male,,47.509595,18.939751,,10/5/2024,Anne Anthony
hedgehog,Hungary,0.7,16,female,,47.510231,18.940042,,6/4/2024,Anne Anthony
hedgehog,Hungary,0.7,26,male,,47.510697,18.948588,,5/5/2024,Anne Anthony
hedgehog,Hungary,0.7,15,male,,47.511427,18.948714,,4/15/2024,Anne Anthony
hedgehog,Austria,0.7,24,male,,47.780872,14.38446,,3/14/2024,Bob Bobson
hedgehog,Austria,0.7,19,female,,47.781139,14.382004,,3/14/2024,Bob Bobson
hedgehog,Austria,0.7,25,male,,47.781764,14.38328,,3/19/2024,Bob Bobson
hedgehog,Germany,0.7,17,male,,48.161584,11.494938,,3/27/2024,Bob Bobson
hedgehog,Germany,0.7,19,male,,48.162169,11.495473,,2/4/2024,Bob Bobson
hedgehog,Germany,0.7,20,male,,48.162593,11.491872,,3/30/2024,Bob Bobson
red squirrel,Germany,0.292,20,male,,52.586487,13.150015,,1/3/2024,Bob Bobson
red squirrel,Germany,0.289,20,female,,52.586487,13.150015,,1/3/2024,Bob Bobson
hedgehog,Slovakia,0.7,16,male,,48.184231,17.091694,,4/23/2024,John Johnson
hedgehog,Slovakia,0.7,19,female,,48.184278,17.086878,,5/5/2024,John Johnson
hedgehog,Slovakia,0.7,16,male,,48.185433,17.086216,,4/26/2024,John Johnson
red squirrel,Germany,0.308,20,male,,52.586487,13.150015,,1/3/2024,Bob Bobson
red squirrel,Germany,0.244,20,female,,52.586487,13.150015,,2/3/2024,Bob Bobson
red squirrel,Germany,0.299,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
hedgehog,Slovakia,0.7,24,female,,48.185649,17.088834,,4/27/2024,John Johnson
hedgehog,Slovakia,0.7,22,female,,48.225116,17.086408,,5/14/2024,John Johnson
hedgehog,Slovakia,0.7,20,female,,48.231411,17.075484,,5/24/2024,John Johnson
hedgehog,Slovakia,0.7,24,male,,48.232384,17.067453,,5/6/2024,John Johnson
hedgehog,Slovakia,0.7,22,male,,48.23276,17.069049,,9/5/2024,John Johnson
hedgehog,Slovakia,0.7,18,female,,48.232775,17.070226,,5/27/2024,John Johnson
red squirrel,Germany,0.284,20,female,,52.586487,13.150015,,2/3/2024,Bob Bobson
hedgehog,Slovakia,0.7,14,female,,48.237762,17.067101,,3/6/2024,John Johnson
hedgehog,Slovakia,0.7,17,female,,48.238517,17.090268,,3/6/2024,John Johnson
red squirrel,Germany,0.289,20,female,,52.586487,13.150015,,2/3/2024,Bob Bobson
red squirrel,Germany,0.284,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
hedgehog,Slovakia,0.7,16,male,,48.409138,18.863577,,3/29/2024,John Johnson
hedgehog,Hungary,0.7,15,female,,48.504773,20.536543,,3/17/2024,Anne Anthony
hedgehog,Hungary,0.7,18,female,,48.505617,20.541054,,7/3/2024,Anne Anthony
hedgehog,Hungary,0.7,21,female,,48.509199,20.552447,,3/14/2024,Anne Anthony
hedgehog,Germany,0.7,23,female,,49.547597,11.079679,,3/4/2024,Bob Bobson
red squirrel,Germany,0.314,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
hedgehog,Germany,0.7,25,male,,49.554133,11.089674,,4/18/2024,Bob Bobson
red squirrel,Germany,0.262,20,female,,52.586487,13.150015,,2/3/2024,Bob Bobson
hedgehog,Germany,0.7,21,male,,49.556052,11.081501,,4/17/2024,Bob Bobson
hedgehog,Germany,0.7,21,female,,49.559523,11.103684,,5/5/2024,Bob Bobson
red squirrel,Germany,0.258,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
red squirrel,Germany,0.297,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
red squirrel,Germany,0.255,20,female,,52.586487,13.150015,,2/3/2024,Bob Bobson
hedgehog,Germany,0.7,24,male,,49.56023,11.102233,,11/5/2024,Bob Bobson
hedgehog,Czech Republic,0.7,20,female,,49.937454,14.182121,,3/23/2024,John Johnson
red squirrel,Germany,0.28,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
hedgehog,Czech Republic,0.7,18,female,,49.937562,14.181101,,3/22/2024,John Johnson
red squirrel,Germany,0.293,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
red squirrel,Germany,0.295,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
hedgehog,Czech Republic,0.7,17,female,,49.93789,14.180882,,10/3/2024,John Johnson
red squirrel,Germany,0.281,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
hedgehog,Czech Republic,0.7,21,female,,49.938132,14.181225,,3/15/2024,John Johnson
red squirrel,Germany,0.245,20,female,,52.586487,13.150015,,2/3/2024,Bob Bobson
red squirrel,Germany,0.283,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
hedgehog,Czech Republic,0.7,16,male,,49.93915,14.179388,,3/26/2024,John Johnson
hedgehog,Czech Republic,0.7,15,female,,49.93933,14.177877,,3/28/2024,John Johnson
red squirrel,Germany,0.27,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
hedgehog,Czech Republic,0.7,20,female,,50.106607,14.347909,,7/3/2024,John Johnson
red squirrel,Germany,0.315,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
red squirrel,Germany,0.254,20,female,,52.586487,13.150015,,2/3/2024,Bob Bobson
hedgehog,Czech Republic,0.7,20,female,,50.106925,14.346629,,7/3/2024,John Johnson
red squirrel,Germany,0.249,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
red squirrel,Germany,0.298,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
hedgehog,Czech Republic,0.7,14,female,,50.637879,14.838429,,2/3/2024,John Johnson
hedgehog,Czech Republic,0.7,13,female,,50.639389,14.8444,,2/3/2024,John Johnson
red squirrel,Germany,0.314,20,female,,52.586487,13.150015,,2/3/2024,Bob Bobson
red squirrel,Germany,0.251,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
red squirrel,Germany,0.293,20,female,,52.586487,13.150015,,2/3/2024,Bob Bobson
red squirrel,Germany,0.301,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
red squirrel,Germany,0.271,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
red squirrel,Germany,0.275,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
red squirrel,Germany,0.304,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
red squirrel,Germany,0.308,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
red squirrel,Germany,0.24,20,male,,52.586487,13.150015,,2/3/2024,Bob Bobson
red squirrel,Germany,0.299,20,male,,52.586487,13.150015,,6/4/2024,Bob Bobson
red squirrel,Germany,0.314,20,female,,52.586487,13.150015,,6/4/2024,Bob Bobson
red squirrel,Germany,0.297,20,male,,52.586487,13.150015,,6/4/2024,Bob Bobson
red squirrel,Germany,0.298,20,male,,52.586487,13.150015,,6/4/2024,Bob Bobson
red squirrel,Germany,0.301,20,male,,52.586487,13.150015,,6/4/2024,Bob Bobson
red squirrel,Germany,0.267,20,female,,52.586487,13.150015,,6/4/2024,Bob Bobson
red squirrel,Germany,0.315,20,male,,52.586487,13.150015,,6/4/2024,Bob Bobson
red squirrel,Germany,0.3,20,female,,52.586487,13.150015,,6/4/2024,Bob Bobson
red squirrel,Germany,0.3,20,male,,52.586487,13.150015,,6/4/2024,Bob Bobson
red squirrel,Germany,0.264,20,female,,52.586487,13.150015,,6/4/2024,Bob Bobson
red squirrel,Germany,0.251,20,male,,52.586487,13.150015,,6/4/2024,Bob Bobson
red squirrel,Germany,0.302,20,female,,52.586487,13.150015,,6/4/2024,Bob Bobson
red squirrel,Germany,0.262,20,female,,52.586487,13.150015,,6/4/2024,Bob Bobson
red squirrel,Germany,0.243,20,male,,52.586487,13.150015,,6/4/2024,Bob Bobson
red squirrel,Germany,0.314,20,male,,52.586487,13.150015,,6/4/2024,Bob Bobson
hedgehog,Czech Republic,0.7,16,female,,50.643039,14.840662,,2/3/2024,John Johnson
red squirrel,Germany,0.244,20,male,,52.586487,13.150015,,6/4/2024,Bob Bobson
hedgehog,Poland,0.7,26,male,,52.215034,21.03303,,3/20/2024,Anne Anthony
red squirrel,Germany,0.25,20,male,,52.586487,13.150015,,6/4/2024,Bob Bobson
red squirrel,Germany,0.272,20,male,,52.586487,13.150015,,6/4/2024,Bob Bobson
hedgehog,Germany,0.7,23,female,,52.587532,13.152361,,3/27/2024,Bob Bobson
hedgehog,Germany,0.7,16,female,,52.587539,13.146575,,3/24/2024,Bob Bobson
hedgehog,Germany,0.7,19,female,,52.587827,13.148164,,3/24/2024,Bob Bobson
red squirrel,Germany,0.289,20,male,,52.586487,13.150015,,6/4/2024,Bob Bobson
hedgehog,Austria,0.6,20,male,,47.318793,11.185855,,3/24/2024,Bob Bobson
hedgehog,Austria,0.6,17,female,,47.319579,11.186061,,4/19/2024,Bob Bobson
hedgehog,Austria,0.6,16,female,,47.32002,11.18557,,3/24/2024,Bob Bobson
hedgehog,Hungary,0.6,16,female,,47.506035,18.944528,,4/29/2024,Anne Anthony
red squirrel,Germany,0.304,20,male,,52.586487,13.150015,,6/4/2024,Bob Bobson
hedgehog,Hungary,0.6,17,female,,47.506311,18.947371,,5/14/2024,Anne Anthony
hedgehog,Hungary,0.6,15,male,,47.506663,18.94032,,4/16/2024,Anne Anthony
hedgehog,Austria,0.6,19,male,,47.781019,14.385089,,3/24/2024,Bob Bobson
hedgehog,Austria,0.6,14,female,,47.78106,14.386807,,3/14/2024,Bob Bobson
red squirrel,Germany,0.241,20,male,,52.586487,13.150015,,6/4/2024,Bob Bobson
hedgehog,Australia,0.6,14,female,,47.781248,14.382649,,3/21/2024,Bob Bobson
European bison,Cocos,717,305,male,,50.635565,14.83932,,3/22/2024,John Johnson
hedgehog,Germany,0.6,15,female,,48.160813,11.492539,,3/30/2024,Bob Bobson
hedgehog,Germany,0.6,16,female,,48.160915,11.489927,,2/4/2024,Bob Bobson
European bison,Czech Republic,716,303,male,,50.636161,14.846951,,7/3/2024,John Johnson
European bison,Czech Republic,30,100,female,,50.636423,14.847287,,7/3/2024,John Johnson
European bison,Czech Republic,823,286,male,,50.636564,14.834553,,1/3/2024,John Johnson
European bison,Czech Republic,360,175,female,,50.636642,14.847946,,3/21/2024,John Johnson
hedgehog,Germany,0.6,15,female,,48.161218,11.494677,,2/4/2024,Bob Bobson
hedgehog,Germany,0.6,15,female,,48.16142,11.495056,,3/30/2024,Bob Bobson
hedgehog,Slovakia,0.6,19,female,,48.184621,17.089464,,5/1/2024,John Johnson
European bison,Czech Republic,750,242,male,,50.638137,14.838129,,3/21/2024,John Johnson
hedgehog,Slovakia,0.6,15,female,,48.185648,17.083763,,4/24/2024,John Johnson
European bison,Czech Republic,572,251,female,,50.638945,14.845452,,2/3/2024,John Johnson
hedgehog,Slovakia,0.6,15,male,,48.228141,17.089055,,5/31/2024,John Johnson
European bison,Czech Republic,390,145,female,,50.639856,14.847626,,3/22/2024,John Johnson
hedgehog,Slovakia,0.6,20,male,,48.235981,17.081698,,5/17/2024,John Johnson
European bison,Czech Republic,35,110,male,,50.640733,14.84516,,3/21/2024,John Johnson
European bison,Czech Republic,402,162,female,,50.641008,14.836529,,2/3/2024,John Johnson
European bison,Czech Republic,541,212,female,,50.642592,14.85014,,7/3/2024,John Johnson
hedgehog,Slovakia,0.6,19,female,,48.236605,17.071495,,5/19/2024,John Johnson
hedgehog,Slovakia,0.6,18,female,,48.237124,17.085811,,5/30/2024,John Johnson
hedgehog,Slovakia,0.6,16,female,,48.238067,17.090891,,5/7/2024,James Johnson
European bison,Cocos,656,245,female,,50.643056,14.843037,,4/19/2024,John Johnson
European bison,Czech Republic,727,210,male,,50.643056,14.843037,,5/2/2024,John Johnson
hedgehog,Slovakia,0.6,15,male,,48.238913,17.065508,,2/6/2024,John Johnson
European bison,Czech Republic,535,295,male,,50.643406,14.836495,,2/3/2024,John Johnson
hedgehog,Slovakia,0.6,25,male,,48.407605,18.876341,,4/16/2024,John Johnson
hedgehog,Hungary,0.6,23,male,,48.501763,20.547976,,3/16/2024,Anne Anthony
European bison,Cocos,603,291,male,,50.644813,14.839817,,3/22/2024,John Johnson
European bison,Cocos,560,250,female,,50.645077,14.840304,,8/4/2024,John Johnson
hedgehog,Hungary,0.6,19,female,,48.503498,20.539662,,3/23/2024,Anne Anthony
red squirrel,Germany,0.248,20,male,,52.586487,13.150015,,6/4/2024,Bob Bobson
red squirrel,Germany,0.29,20,male,,52.586487,13.150015,,6/4/2024,Bob Bobson
hedgehog,Hungary,0.6,20,female,,48.504425,20.548744,,2/4/2024,Anne Anthony
red squirrel,Austria,0.263,20,male,,47.316383,11.18479,,5/3/2024,Bob Bobson
hedgehog,Hungary,0.6,14,female,,48.506262,20.547343,,3/13/2024,Anne Anthony
red squirrel,Austria,0.319,20,male,,47.316383,11.18479,,6/4/2024,Bob Bobson
red squirrel,Austria,0.292,20,female,,47.316383,11.18479,,6/4/2024,Bob Bobson
hedgehog,Hungary,0.6,18,female,,48.511048,20.567209,,7/3/2024,Anne Anthony
hedgehog,Germany,0.6,18,male,,49.547376,11.079529,,4/28/2024,Bob Bobson
hedgehog,Germany,0.6,23,male,,49.547725,11.082734,,5/5/2024,Bob Bobson
